dir,session,video,color type,color pair,tracked,error,lever,mag,event id,fiber pho,coop thresh,animal id,cohort,visual,vehicle,familiar,useable
PairedTestingSessions,022125_PairedTesting_TimeOut_DREADD_KM010-KM015G_DCZ-DCZ,022125_Cam1_TrNum8_Coop_KM010Y-KM015G_DCZ-SAL,collar,GY,False,,False,False,False,False,,KM010Y-KM015G,KM,transparent,DCZ,unsure,unuseable
PairedTestingSessions,022125_PairedTesting_TimeOut_DREADD_KM010-KM015G_DCZ-DCZ,022125_Cam1_TrNum9_Coop_KM010B-KM010Y_DCZ-DCZ,collar,YB,True,0.41556866511181234,False,False,False,False,,KM010B-KM010Y,KM,transparent,DCZ,unsure,unuseable
PairedTestingSessions,022125_PairedTesting_TimeOut_DREADD_KM010-KM015G_DCZ-DCZ,022125_Cam1_TrNum7_Coop_KM010B-KM015G_DCZ-SAL,collar,GB,False,,False,False,False,False,,KM010B-KM015G,KM,transparent,DCZ,unsure,unuseable
PairedTestingSessions,041824_KL007_TimeOut,041824_Cam3_TrNum11_Coop_KL007Y-KL007G,dyed,GY,True,0.29372624798711755,True,True,True,False,1.0,KL007Y-KL007G,KL,transparent,None,familiar,unuseable
PairedTestingSessions,041824_KL007_TimeOut,041824_Cam3_TrNum5_Coop_KL007Y-KL007G,dyed,GY,True,0.29277658645063936,True,True,True,False,1.0,KL007Y-KL007G,KL,transparent,None,familiar,unuseable
PairedTestingSessions,051424_EB005Y-007R-009B_TimeOut_VEH,051424_Cam4_TrNum9_Coop_EB005Y-EB007R,dyed,RY,True,0.24442543384894724,True,True,True,False,1.0,EB005Y-EB007R,EB,transparent,VEH,familiar,unuseable
PairedTestingSessions,022525_PairedTesting_TimeOut_DREADD_KL013-KM016B_SAL-SAL,022525_Cam1_TrNum6_Coop_KM013R-KL016B_SAL-SAL,collar,RB,False,,False,False,False,False,,KM013R-KL016B,KM,transparent,SAL,unsure,unuseable
PairedTestingSessions,022525_PairedTesting_TimeOut_DREADD_KL013-KM016B_SAL-SAL,022525_Cam1_TrNum4_Coop_KM013G-KM016B_SA2-SAL,collar,GB,False,,False,False,False,False,,KM013G-KM016B,KM,transparent,SAL,unsure,unuseable
PairedTestingSessions,022525_PairedTesting_TimeOut_DREADD_KL013-KM016B_SAL-SAL,022525_Cam1_TrNum9_Coop_KM013R-KM013G_SAL-SAL,collar,RG,True,0.053442550972805355,False,False,False,False,,KM013R-KM013G,KM,transparent,SAL,unsure,unuseable
PairedTestingSessions,041625_PairedTesting_TimeOut_DREADD_KM010B-SAL_KM010Y-CNO_KM013G-SAL,041625_Cam2_TrNum5_Coop_KM010Y-KM013G_CNO-SAL,collar,GY,False,,False,False,False,False,,KM010Y-KM013G,KM,transparent,None,unsure,unuseable
PairedTestingSessions,041625_PairedTesting_TimeOut_DREADD_KM010B-SAL_KM010Y-CNO_KM013G-SAL,041625_Cam2_TrNum6_Coop_KM010Y-KM010B_CNO-SAL,collar,YB,True,0.4649105530937141,False,False,False,False,,KM010Y-KM010B,KM,transparent,None,unsure,unuseable
PairedTestingSessions,053124_EB011Y-015R-017B_TimeOut_CNO,053124_Cam4_TrNum8_Coop_EB011Y-EB015R,dyed,RY,True,0.06476001542954758,True,True,True,False,1.0,EB011Y-EB015R,EB,transparent,CNO,familiar,normal
PairedTestingSessions,053124_EB011Y-015R-017B_TimeOut_CNO,053124_Cam4_TrNum10_Coop_EB011Y-EB017B,dyed,YB,True,0.11995824347267471,True,True,True,False,1.0,EB011Y-EB017B,EB,transparent,CNO,familiar,normal
PairedTestingSessions,051424_EB031B-001R-033Y_TimeOut_VEH,051424_Cam3_TrNum7_Coop_EB031B-EB033Y,dyed,YB,True,0.0641875629075314,True,True,True,False,1.0,EB031B-EB033Y,EB,transparent,VEH,familiar,control
PairedTestingSessions,051424_EB031B-001R-033Y_TimeOut_VEH,051424_Cam3_TrNum11_Coop_EB031B-EB001R,dyed,RB,True,0.03492560689115114,True,True,True,False,1.0,EB031B-EB001R,EB,transparent,VEH,familiar,control
PairedTestingSessions,042224_KL006_TimeOut,042224_Cam4_TrNum12_Coop_KL006G-KL006R,dyed,RG,True,0.03960965927886206,True,True,True,False,1.0,KL006G-KL006R,KL,transparent,None,familiar,normal
PairedTestingSessions,042224_KL006_TimeOut,042224_Cam4_TrNum5_Coop_KL006G-KL006R,dyed,RG,True,0.13197559583900276,True,True,True,False,1.0,KL006G-KL006R,KL,transparent,None,familiar,normal
PairedTestingSessions,090924_FiberPho_KL007G-KL002_TimeOut,090924_Cam1_TrNum10_Coop_KL007G-KL002Y,dyed,GY,True,0.12155407842531045,True,True,True,True,1.0,KL007G-KL002Y,KL,transparent,None,unfamiliar,control
